"ID","Classificação","Arquivo","Símbolo","Branch de origem","SHA de origem","Branch posterior","SHA posterior","PR/Merge","O que existia","O que mudou","O que existe hoje","Teste relacionado","Impacto no módulo Cliente / Perfil","Evidência","Confiança","Precisa de decisão do líder?"
"CP-001","PRESERVADO","src/domain/perfil/**; src/application/perfil/**; src/presentation/perfil/**","núcleo inicial de Perfil e casos de uso","claude/file-upload-project-22m8hs","5655c69be77b","nova_desenvolvimento_de_n1","b91223b5fd43","Histórico inicial; sem PR único identificável para o commit-raiz","O commit inicial criou, em um único lote, entidades, regras, casos de uso, apresentação, repositório e 35 arquivos de teste relacionados a perfil/cliente.","A linhagem oficial recebeu correções pontuais posteriores sem excluir os arquivos centrais.","Os arquivos e os exports centrais continuam presentes no SHA fixado da base.","35 arquivos relacionados permanecem na árvore; a efetividade da execução é tratada em CP-015 e CP-016.","Não foi encontrada perda total do núcleo inicial.","Árvore de 5655c69be77b comparada à árvore de b91223b5fd43; nenhum arquivo central atual tem exclusão histórica.","ALTO","NÃO"
"CP-002","PRESERVADO","src/presentation/perfil/binders/PerfilImportacaoCardPatch.ts; src/presentation/perfil/binders/PerfilImportacaoBinder.ts","coletarPatchDoCard e preservação de campos do card","ajustes_importacao_perfil","3c83a321e915","nova_desenvolvimento_de_n1","4cc4bbbc475c","PR #6 — merge 4cc4bbbc475c","A alteração passou a coletar o patch a partir do card completo para não apagar nome, telefone e conhecePessoalmente ao mudar bairro.","O teste textual de fluxo foi ampliado no commit imediatamente posterior.","O helper, as chamadas do binder e o teste permanecem na base.","tests/perfil-importacao-fluxo.test.cjs em 0f2eca0d0955.","A lógica contra perda parcial de campos sobreviveu.","Diffs 3c83a321e915 e 0f2eca0d0955; merge do PR #6; conteúdo atual contém coletarPatchDoCard.","ALTO","NÃO"
"CP-003","PRESERVADO","src/presentation/perfil/binders/PerfilImportacaoBinder.ts","wiredFilterButtons / fallback do filtro sem cards","claude/file-upload-project-22m8hs","78d00312cfed","nova_desenvolvimento_de_n1","4cc4bbbc475c","PR #6","Quando o filtro ativo deixava de ter cards, o binder retornava a “todos”.","Foi combinado com a coleta de patch da outra perna do merge.","As duas lógicas coexistem no binder atual.","Proteção textual indireta; não há teste de navegador executando o filtro.","O merge não descartou nenhuma das duas alterações concorrentes.","Comparação do merge com cada pai e git show --remerge-diff sem saída: merge automático limpo, sem resolução manual registrada.","ALTO","NÃO"
"CP-004","SUBSTITUIDO_LEGITIMAMENTE","src/presentation/perfil/templates/PerfilTemplate.ts; src/presentation/perfil/PerfilDomView.ts","template oficial da tela de Perfil","desenvolvimento","108afd97ea69","claude/jose-7t2h1w → desenvolvimento","f5d2d4095ba1","PR #21 — merge 7201cb9b245d5a4a40cab0ca07520450a4ae0c24","Uma versão anterior do template de Perfil já estava em uso.","O PR #21 declara expressamente substituir o HTML anterior pelo mockup perfil-ana-v2 e foi mesclado.","A base contém a versão resultante do PR #21, com ajustes funcionais posteriores.","perfil-item-create-screen, perfil-ux-* e perfil-browser-contract existem, mas são textuais.","Há evidência concreta de intenção e merge para a substituição visual.","Corpo e metadados do PR #21; diff f5d2d4095ba1.","ALTO","NÃO"
"CP-005","REVERTIDO","src/presentation/perfil/templates/PerfilImportacaoTemplate.ts","PERFIL_IMPORT_TEMPLATE extraído","claude/file-upload-project-22m8hs","7a925f7a20b3","mesma linhagem","e5f97949f9ae","Sem PR individual identificado","O template de importação foi extraído para um arquivo TypeScript dedicado.","Um commit explícito “Revert” removeu o arquivo e restaurou a forma anterior.","O caminho TypeScript extraído não existe na base; a versão HTML posterior é distinta.","Nenhum teste específico do ato de extração.","A ausência é resultado de revert explícito, não perda silenciosa.","Par origem/revert 7a925f7a20b3 → e5f97949f9ae.","ALTO","NÃO"
"CP-006","IMPLEMENTACAO_ANTIGA_NAO_RECUPERAR","src/presentation/perfil/components/PerfilListCard/PerfilListCard.html e refatoração associada","PerfilCardRenderer retornando HTMLElement; template HTML externo","claude/ana-t8q304 (também claude/alterar-perfis)","788f0fafe12f","nova_desenvolvimento_de_n1","b91223b5fd43","PR #18 fechado sem merge","A branch extraía HTML, centralizava injeção de templates e mudava PerfilCardRenderer de string para HTMLElement.","O PR #18 foi encerrado com a justificativa de que era antigo e não necessário após a consolidação de desenvolvimento.","PerfilListCard.html não está na base e o renderer atual mantém o contrato string.","Dois testes textuais foram adaptados apenas nessa branch.","Recuperar isoladamente quebraria contratos atuais e contrariaria a decisão registrada de fechamento.","Commit 788f0fafe12f e corpo do PR #18.","ALTO","NÃO"
"CP-007","EXISTE_EM_BRANCH_MAS_NAO_NA_BASE","PerfilImportacaoBinder.ts; PerfilImportacaoTemplate.html; PerfilTemplate.css","botão confirmar-importacao-perfis e posição da lupa","kzera-v0-19-51","c52b9a8248c1, 484891260706, 9009953b5de1","nova_desenvolvimento_de_n1","b91223b5fd43","Nenhum PR relacionado localizado","A branch adicionou listener de arquivo, botão explícito de confirmação, habilitação por registro válido e moveu a lupa de 50% para 25px.","Esses três commits permaneceram apenas na branch.","A base não contém esse botão/contrato nem o ajuste CSS.","Nenhum teste novo nesses commits.","É uma variante de UI/fluxo não incorporada; não há prova para promovê-la.","Diff base versus os três commits e ausência de ancestralidade na base.","ALTO","SIM"
"CP-008","EXISTE_EM_BRANCH_MAS_NAO_NA_BASE","src/presentation/perfil/binders/PerfilImportacaoBinder.ts; PerfilTemplate.css","renderPreviewCard, filtros e FAB alternativos","claude/new-session-pv3jdm","c602d76c6bfe","PR para claude/leia-agents-jose-rjkzjt","não mesclado","PR #80 aberto, divergente e não mesclado","A branch implementou uma segunda renderização de preview, filtros, FAB e ajuste da lupa.","O PR #80 tenta levar a branch para outra branch de agente, não para a base oficial.","A base mantém o binder anterior.","Nenhum teste novo no commit.","Variante concorrente sem decisão de integração e com sobreposição extensa no binder.","Commit c602d76c6bfe e metadados do PR #80.","ALTO","SIM"
"CP-009","REVERTIDO","src/app/createPerfilUiApp.ts; src/app/composition/createFeatureAppComposition.ts","injeção de ReprocessarPendenciasPerfilUseCase","desenvolvimento","bb0d9f4740bc","desenvolvimento","cc5d6926fc8e","Sem PR individual identificado","Ao criar/importar perfil, a UI recebia um caso de uso externo para reprocessar pendências relacionadas.","Oito minutos depois, commit explícito restaurou createPerfilUiApp e a composition ao estado anterior.","A base oficial não injeta nem chama esse caso de uso.","Nenhum teste de Perfil introduzido pelo par add/revert.","A retirada foi explícita; não é perda silenciosa.","Diffs inversos bb0d9f4740bc → cc5d6926fc8e.","ALTO","NÃO"
"CP-010","EXISTE_EM_BRANCH_MAS_NAO_NA_BASE","createPerfilUiApp.ts; PerfilImportacaoBinder.ts; PerfilImportacaoTemplate.html; createFeatureAppComposition.ts","reintrodução best-effort de reprocessamento + renderização alternativa","claude/teste-permissao-criar-branch-01959","63aae815509a","claude/produto-qjk4a4 (cherry-pick)","a8585f4cb540","Nenhum PR para a base oficial localizado","Depois do revert, outra branch reintroduziu a injeção com tratamento best-effort e também reescreveu parte do binder.","A alteração foi duplicada por cherry-pick em outra branch.","Nenhuma das duas cópias está na base oficial.","Sem teste associado no commit.","Há duas cópias equivalentes fora da base, mas ausência de merge/decisão não autoriza recuperação.","Patch-id/conteúdo equivalente em 63aae815509a e a8585f4; branch --contains não inclui a base.","ALTO","SIM"
